"11930";"2021-10-07 01:47:32";"-75";"-80";"-79"
"11931";"2021-10-07 01:47:32";"-80";"-81";"-83"
"11932";"2021-10-07 01:47:33";"-80";"-80";"-76"
"11933";"2021-10-07 01:47:34";"-76";"-80";"-75"
"11934";"2021-10-07 01:47:35";"-74";"-80";"-85"
"11935";"2021-10-07 01:47:36";"-75";"-81";"-79"
"11936";"2021-10-07 01:47:37";"-78";"-81";"-78"
"11937";"2021-10-07 01:47:38";"-81";"-81";"-85"
"11938";"2021-10-07 01:47:39";"-74";"-81";"-85"
"11939";"2021-10-07 01:47:40";"-75";"-81";"-76"
"11940";"2021-10-07 01:47:41";"-78";"-82";"-78"
"11941";"2021-10-07 01:47:42";"-75";"-81";"-86"
"11942";"2021-10-07 01:47:44";"-75";"-81";"-84"
"11943";"2021-10-07 01:47:45";"-75";"-81";"-84"
"11944";"2021-10-07 01:47:46";"-75";"-81";"-84"
"11945";"2021-10-07 01:47:47";"-76";"-81";"-79"
"11946";"2021-10-07 01:47:48";"-75";"-81";"-84"
"11947";"2021-10-07 01:47:49";"-75";"-80";"-84"
"11948";"2021-10-07 01:47:50";"-75";"-80";"-83"
"11949";"2021-10-07 01:47:51";"-76";"-94";"-84"
"11950";"2021-10-07 01:47:52";"-76";"-81";"-83"
"11951";"2021-10-07 01:47:53";"-75";"-93";"-76"
"11952";"2021-10-07 01:47:54";"-76";"-80";"-82"
"11953";"2021-10-07 01:47:55";"-75";"-81";"-79"
"11954";"2021-10-07 01:47:56";"-80";"-95";"-83"
"11955";"2021-10-07 01:47:57";"-76";"-81";"-83"
"11956";"2021-10-07 01:47:58";"-74";"-95";"-83"
"11957";"2021-10-07 01:47:59";"-74";"-81";"-76"
"11958";"2021-10-07 01:48:00";"-75";"-97";"-79"
"11959";"2021-10-07 01:48:01";"-75";"-93";"-83"
"11960";"2021-10-07 01:48:49";"-76";"-80";"-80"
"11961";"2021-10-07 01:48:50";"-75";"-81";"-76"
"11962";"2021-10-07 01:48:50";"-75";"-80";"-76"
"11963";"2021-10-07 01:48:51";"-76";"-82";"-85"
"11964";"2021-10-07 01:48:52";"-76";"-81";"-83"
"11965";"2021-10-07 01:48:53";"-75";"-81";"-83"
"11966";"2021-10-07 01:48:54";"-80";"-81";"-85"
"11967";"2021-10-07 01:48:55";"-75";"-80";"-79"
"11968";"2021-10-07 01:48:56";"-74";"-81";"-79"
"11969";"2021-10-07 01:48:57";"-76";"-80";"-75"
"11970";"2021-10-07 01:48:58";"-75";"-97";"-84"
"11971";"2021-10-07 01:49:13";"-75";"-81";"-75"
"11972";"2021-10-07 01:49:13";"-78";"-80";"-77"
"11973";"2021-10-07 01:49:14";"-74";"-81";"-84"
"11974";"2021-10-07 01:49:15";"-74";"-81";"-83"
"11975";"2021-10-07 01:49:17";"-75";"-95";"-83"
"11976";"2021-10-07 01:49:18";"-76";"-81";"-75"
"11977";"2021-10-07 01:49:19";"-75";"-94";"-78"
"11978";"2021-10-07 01:49:20";"-75";"-81";"-75"
"11979";"2021-10-07 01:49:21";"-81";"-81";"-78"
"11980";"2021-10-07 01:49:22";"-74";"-81";"-83"
"11981";"2021-10-07 01:49:23";"-77";"-82";"-78"
"11982";"2021-10-07 01:49:24";"-75";"-82";"-84"
"11983";"2021-10-07 01:49:25";"-74";"-81";"-83"
"11984";"2021-10-07 01:49:26";"-74";"-81";"-83"
"11985";"2021-10-07 01:49:27";"-77";"-82";"-83"
"11986";"2021-10-07 01:49:28";"-74";"-82";"-79"
"11987";"2021-10-07 01:49:29";"-75";"-81";"-75"
"11988";"2021-10-07 01:49:30";"-75";"-81";"-75"
"11989";"2021-10-07 01:49:31";"-75";"-81";"-75"
"11990";"2021-10-07 01:49:32";"-75";"-81";"-78"
"11991";"2021-10-07 01:49:33";"-76";"-95";"-79"
"11992";"2021-10-07 01:49:34";"-74";"-82";"-84"
"11993";"2021-10-07 01:49:35";"-74";"-82";"-75"
"11994";"2021-10-07 01:49:36";"-74";"-81";"-78"
"11995";"2021-10-07 01:49:37";"-75";"-82";"-83"
"11996";"2021-10-07 01:49:38";"-76";"-99";"-78"
"11997";"2021-10-07 01:49:39";"-76";"-97";"-75"
"11998";"2021-10-07 01:49:54";"-76";"-94";"-83"
"11999";"2021-10-07 01:49:54";"-75";"-81";"-74"
"12000";"2021-10-07 01:49:55";"-80";"-82";"-74"
"12001";"2021-10-07 01:49:56";"-75";"-97";"-83"
"12002";"2021-10-07 01:49:57";"-74";"-95";"-83"
"12003";"2021-10-07 01:49:58";"-73";"-97";"-79"
"12004";"2021-10-07 01:50:25";"-75";"-96";"-78"
"12005";"2021-10-07 01:50:26";"-74";"-81";"-78"
"12006";"2021-10-07 01:50:27";"-74";"-81";"-83"
"12007";"2021-10-07 01:50:45";"-75";"-81";"-75"
"12008";"2021-10-07 01:50:45";"-76";"-81";"-84"
"12009";"2021-10-07 01:50:46";"-79";"-94";"-83"
"12010";"2021-10-07 01:50:47";"-74";"-81";"-83"
"12011";"2021-10-07 01:50:48";"-76";"-82";"-82"
"12012";"2021-10-07 01:50:49";"-77";"-82";"-75"
"12013";"2021-10-07 01:50:50";"-75";"-82";"-83"
"12014";"2021-10-07 01:50:51";"-76";"-82";"-83"
"12015";"2021-10-07 01:50:52";"-76";"-81";"-78"
"12016";"2021-10-07 01:50:53";"-75";"-81";"-84"
"12017";"2021-10-07 01:50:54";"-74";"-81";"-84"
"12018";"2021-10-07 01:50:55";"-74";"-81";"-83"
"12019";"2021-10-07 01:50:56";"-74";"-82";"-75"
