"6209";"2021-10-06 17:48:38";"-68";"-90";"-55"
"6210";"2021-10-06 17:48:39";"-68";"-71";"-55"
"6211";"2021-10-06 17:48:40";"-63";"-79";"-53"
"6212";"2021-10-06 17:48:41";"-62";"-79";"-54"
"6213";"2021-10-06 17:48:42";"-69";"-90";"-54"
"6214";"2021-10-06 17:48:43";"-68";"-89";"-56"
"6215";"2021-10-06 17:48:44";"-68";"-71";"-54"
"6216";"2021-10-06 17:48:45";"-68";"-89";"-56"
"6217";"2021-10-06 17:48:46";"-68";"-71";"-56"
"6218";"2021-10-06 17:48:47";"-62";"-71";"-53"
"6219";"2021-10-06 17:48:48";"-62";"-71";"-55"
"6220";"2021-10-06 17:48:49";"-62";"-72";"-53"
"6221";"2021-10-06 17:48:50";"-68";"-89";"-55"
"6222";"2021-10-06 17:48:51";"-68";"-88";"-53"
"6223";"2021-10-06 17:48:52";"-68";"-88";"-55"
"6224";"2021-10-06 17:48:53";"-68";"-90";"-53"
"6225";"2021-10-06 17:48:54";"-68";"-88";"-56"
"6226";"2021-10-06 17:48:55";"-62";"-88";"-54"
"6227";"2021-10-06 17:48:56";"-68";"-89";"-56"
"6228";"2021-10-06 17:48:57";"-69";"-90";"-54"
"6229";"2021-10-06 17:48:58";"-62";"-71";"-53"
"6230";"2021-10-06 17:48:59";"-62";"-90";"-56"
"6231";"2021-10-06 17:49:00";"-68";"-89";"-56"
"6232";"2021-10-06 17:49:01";"-69";"-90";"-54"
"6233";"2021-10-06 17:49:02";"-68";"-89";"-53"
"6234";"2021-10-06 17:49:03";"-62";"-89";"-53"
"6235";"2021-10-06 17:49:29";"-62";"-88";"-55"
"6236";"2021-10-06 17:49:30";"-69";"-71";"-54"
"6237";"2021-10-06 17:49:31";"-62";"-71";"-55"
"6238";"2021-10-06 17:49:32";"-68";"-88";"-55"
"6239";"2021-10-06 17:49:33";"-62";"-89";"-56"
"6240";"2021-10-06 17:49:34";"-69";"-88";"-55"
"6241";"2021-10-06 17:49:35";"-69";"-89";"-56"
"6242";"2021-10-06 17:49:36";"-62";"-91";"-55"
"6243";"2021-10-06 17:49:37";"-69";"-71";"-53"
"6244";"2021-10-06 17:49:38";"-62";"-71";"-55"
"6245";"2021-10-06 17:49:39";"-69";"-71";"-53"
"6246";"2021-10-06 17:49:40";"-62";"-71";"-55"
"6247";"2021-10-06 17:49:41";"-68";"-89";"-53"
